id,title,title_zh,category,url,description,description_zh,thumbnail_url,created_at,updated_at
322a66a9-6c08-41fb-8bed-a263ec9c437d,"{""en-US"":""Memory Match"",""zh-CN"":""记忆配对""}",记忆配对,memory_games,/games/memory/index.html,"{""en-US"":""Test your memory skills"",""zh-CN"":""测试你的记忆力""}",测试你的记忆力,/public/images/games_cover/memory.jpg,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00
488a5975-085d-4715-934e-672e4eaec047,"{""en-US"":""Ninja"",""zh-CN"":""忍者游戏""}",忍者游戏,logic_games,/games/ninja/index.html,"{""en-US"":""Improve your math skills"",""zh-CN"":""提升数学能力""}",提升数学能力,/public/images/games_cover/ninja.jpg,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00
61ee37c8-7a2f-4035-9814-1f79d53647c6,"{""en-US"":""Cube"",""zh-CN"":""3D魔方""}",3D魔方,puzzles,/games/cube/index.html,"{""en-US"":""3D Rubik's Cube"",""zh-CN"":""3D魔方游戏""}",3D魔方游戏,/public/images/games_cover/cube.jpg,2026-01-12 10:40:47.742946+00,2026-01-12 10:40:47.742946+00
97a5be1d-0006-4997-ada9-742a2792e6a9,"{""en-US"":""Word Search"",""zh-CN"":""找字游戏""}",找字游戏,puzzles,https://thewordsearch.com/puzzle/,"{""en-US"":""Find hidden words"",""zh-CN"":""寻找隐藏的单词""}",寻找隐藏的单词,https://images.unsplash.com/photo-1516414447565-b14be0adf13e?w=400,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00
b8ec5c93-b3dd-42a7-aec8-0ccfa86e35c0,"{""en-US"":""Fish World"",""zh-CN"":""鱼类世界""}",鱼类世界,logic_games,/games/fish/index.html,"{""en-US"":""Play chess online"",""zh-CN"":""在线下棋""}",鱼类世界,/public/images/games_cover/fish.png,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00
be62d1bd-057f-4ebd-b26d-391519142d93,"{""en-US"":""Tetris"",""zh-CN"":""俄罗斯方块""}",俄罗斯方块,puzzles,/games/tetris/index.html?lan=en,"{""en-US"":""Classic Tetris game"",""zh-CN"":""经典俄罗斯方块""}",经典俄罗斯方块,/public/images/games_cover/tetris.jpg,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00
e960608b-3c86-45ee-bceb-5e051b6025d4,"{""en-US"":""Archery"",""zh-CN"":""射箭小游戏""}",射箭小游戏,puzzles,/games/archery/index.html,"{""en-US"":""Draw an arrow and launch it"",""zh-CN"":""画一个箭头并发射它""}",画一个箭头并发射它,/public/images/games_cover/archery.jpg,2026-01-12 10:25:06.974276+00,2026-01-12 10:25:06.974276+00
ef4a137d-22da-416b-b8eb-f498b2c023e8,"{""en-US"":""Sudoku"",""zh-CN"":""数独""}",数独,puzzles,https://sudoku.com/,"{""en-US"":""Classic Sudoku puzzle"",""zh-CN"":""经典数独游戏""}",经典数独游戏,https://images.unsplash.com/photo-1590479773265-7464e5d48118?w=400,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00
f0799b8d-8def-4211-bd3f-e2d0a2fad90e,"{""en-US"":""Simon Says"",""zh-CN"":""西蒙说""}",西蒙说,memory_games,https://www.freesimon.org/,"{""en-US"":""Memory sequence game"",""zh-CN"":""记忆序列游戏""}",记忆序列游戏,https://images.unsplash.com/photo-1550745165-9bc0b252726f?w=400,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00
f91a99d6-e4fa-4abb-a307-debdf1f8b4fc,"{""en-US"":""2048"",""zh-CN"":""2048""}",2048,number_games,/games/2048/index.html,"{""en-US"":""Classic 2048 puzzle game"",""zh-CN"":""经典2048数字游戏""}",经典2048数字游戏,/public/images/games_cover/2048.jpg,2026-01-10 06:44:18.947432+00,2026-01-10 06:44:18.947432+00